Step,LJ_Potential,Kinetic_Energy,Total_Energy
315,-0.057335,0.021850,-0.035486
316,-0.043342,0.008541,-0.034801
317,-0.035996,0.001791,-0.034205
318,-0.043407,0.008612,-0.034795
319,-0.057550,0.022067,-0.035483
320,-0.067381,0.031868,-0.035513
321,-0.070395,0.035120,-0.035275
322,-0.068853,0.033780,-0.035073
323,-0.065228,0.030270,-0.034958
324,-0.061025,0.026122,-0.034903
325,-0.056974,0.022092,-0.034881
326,-0.053367,0.018492,-0.034875
327,-0.050286,0.015411,-0.034874
328,-0.047721,0.012845,-0.034877
329,-0.045629,0.010748,-0.034880
330,-0.043954,0.009071,-0.034883
331,-0.042646,0.007760,-0.034886
332,-0.041661,0.006773,-0.034888
333,-0.040962,0.006072,-0.034890
334,-0.040520,0.005628,-0.034891
335,-0.040311,0.005419,-0.034892
336,-0.040321,0.005428,-0.034893
337,-0.040537,0.005644,-0.034893
338,-0.040954,0.006060,-0.034893
339,-0.041570,0.006677,-0.034893
340,-0.042389,0.007496,-0.034893
341,-0.043417,0.008525,-0.034892
342,-0.044668,0.009777,-0.034891
343,-0.046159,0.011270,-0.034889
344,-0.047912,0.013025,-0.034888
345,-0.049956,0.015071,-0.034885
346,-0.052326,0.017443,-0.034883
347,-0.055059,0.020179,-0.034880
348,-0.058200,0.023322,-0.034878
349,-0.061786,0.026908,-0.034877
350,-0.065839,0.030959,-0.034880
351,-0.070334,0.035444,-0.034890
352,-0.075140,0.040223,-0.034916
353,-0.079906,0.044932,-0.034973
354,-0.083879,0.048798,-0.035080
355,-0.085693,0.050451,-0.035241
356,-0.083483,0.048105,-0.035377
357,-0.076301,0.041060,-0.035241
358,-0.067525,0.032836,-0.034689
359,-0.065679,0.031317,-0.034363
360,-0.075279,0.040481,-0.034797
361,-0.090272,0.055017,-0.035254
362,-0.103204,0.067916,-0.035287
363,-0.112154,0.077014,-0.035139
364,-0.118339,0.083278,-0.035061
365,-0.122526,0.087316,-0.035211
366,-0.122667,0.086877,-0.035791
367,-0.111559,0.074677,-0.036883
368,-0.078807,0.041971,-0.036835
369,-0.037885,0.005101,-0.032784
370,-0.044795,0.011131,-0.033664
371,-0.089322,0.052183,-0.037139
372,-0.118777,0.082096,-0.036681
373,-0.127837,0.092115,-0.035722
374,-0.126351,0.090965,-0.035386
375,-0.118655,0.083148,-0.035507
376,-0.103909,0.068218,-0.035690
377,-0.081961,0.046762,-0.035198
378,-0.062743,0.028682,-0.034062
379,-0.062202,0.027881,-0.034321
380,-0.076897,0.041424,-0.035474
381,-0.089831,0.054104,-0.035727
382,-0.094277,0.058845,-0.035432
383,-0.092425,0.057281,-0.035144
384,-0.087627,0.052647,-0.034980
385,-0.081973,0.047069,-0.034904
386,-0.076456,0.041582,-0.034874
387,-0.071465,0.036600,-0.034865
388,-0.067110,0.032245,-0.034864
389,-0.063383,0.028516,-0.034867
390,-0.060237,0.025366,-0.034871
391,-0.057614,0.022739,-0.034874
392,-0.055462,0.020585,-0.034877
393,-0.053740,0.018861,-0.034879
394,-0.052418,0.017537,-0.034881
395,-0.051475,0.016594,-0.034882
396,-0.050904,0.016022,-0.034882
397,-0.050707,0.015826,-0.034881
398,-0.050896,0.016016,-0.034880
399,-0.051496,0.016618,-0.034878
400,-0.052538,0.017662,-0.034876
401,-0.054065,0.019191,-0.034874
402,-0.056118,0.021246,-0.034872
403,-0.058732,0.023858,-0.034874
404,-0.061897,0.027014,-0.034883
405,-0.065503,0.030595,-0.034909
406,-0.069207,0.034238,-0.034969
407,-0.072200,0.037108,-0.035092
408,-0.072884,0.037586,-0.035298
409,-0.068805,0.033296,-0.035509
410,-0.058179,0.022782,-0.035397
411,-0.044589,0.009909,-0.034680
412,-0.039142,0.004887,-0.034256
413,-0.047579,0.012667,-0.034912
414,-0.060838,0.025349,-0.035490
415,-0.069275,0.033807,-0.035468
416,-0.071319,0.036080,-0.035239
417,-0.069258,0.034202,-0.035056
418,-0.065358,0.030405,-0.034954
419,-0.060973,0.026068,-0.034905
420,-0.056753,0.021868,-0.034885
421,-0.052960,0.018080,-0.034879
422,-0.049664,0.014784,-0.034879
423,-0.046855,0.011973,-0.034882
424,-0.044490,0.009605,-0.034885
425,-0.042520,0.007633,-0.034888
426,-0.040899,0.006009,-0.034890
427,-0.039585,0.004693,-0.034892
428,-0.038547,0.003654,-0.034894
429,-0.037760,0.002865,-0.034895
430,-0.037205,0.002309,-0.034896
431,-0.036870,0.001974,-0.034896
432,-0.036752,0.001856,-0.034896
433,-0.036850,0.001954,-0.034896
434,-0.037170,0.002275,-0.034895
435,-0.037726,0.002832,-0.034894
436,-0.038536,0.003644,-0.034892
437,-0.039628,0.004738,-0.034890
438,-0.041035,0.006148,-0.034887
439,-0.042800,0.007916,-0.034884
440,-0.044971,0.010090,-0.034881
441,-0.047602,0.012723,-0.034878
442,-0.050738,0.015860,-0.034878
443,-0.054397,0.019514,-0.034883
444,-0.058515,0.023613,-0.034902
445,-0.062843,0.027893,-0.034950
446,-0.066737,0.031684,-0.035053
447,-0.068838,0.033598,-0.035240
448,-0.066814,0.031332,-0.035482
449,-0.058194,0.022669,-0.035525
450,-0.044337,0.009399,-0.034938
451,-0.035145,0.000914,-0.034231
452,-0.040365,0.005700,-0.034665
453,-0.054152,0.018729,-0.035423
454,-0.064795,0.029258,-0.035537
455,-0.068558,0.033244,-0.035314
456,-0.067351,0.032250,-0.035100
457,-0.063737,0.028763,-0.034974
458,-0.059365,0.024452,-0.034913
459,-0.055056,0.020168,-0.034888
460,-0.051153,0.016274,-0.034879
461,-0.047762,0.012884,-0.034878
462,-0.044884,0.010004,-0.034880
463,-0.042480,0.007596,-0.034884
464,-0.040497,0.005610,-0.034887
465,-0.038886,0.003996,-0.034889
466,-0.037603,0.002712,-0.034892
467,-0.036614,0.001721,-0.034893
468,-0.035891,0.000997,-0.034894
469,-0.035414,0.000519,-0.034895
470,-0.035171,0.000275,-0.034896
471,-0.035155,0.000260,-0.034896
472,-0.035367,0.000472,-0.034895
473,-0.035813,0.000919,-0.034894
474,-0.036507,0.001614,-0.034893
475,-0.037470,0.002578,-0.034891
476,-0.038728,0.003839,-0.034889
477,-0.040319,0.005433,-0.034886
478,-0.042286,0.007403,-0.034883
479,-0.044680,0.009800,-0.034880
480,-0.047553,0.012675,-0.034878
481,-0.050943,0.016064,-0.034879
482,-0.054849,0.019961,-0.034888
483,-0.059157,0.024242,-0.034915
484,-0.063508,0.028530,-0.034978
485,-0.067049,0.031941,-0.035109
486,-0.068080,0.032753,-0.035327
487,-0.063993,0.028445,-0.035547
488,-0.052982,0.017577,-0.035405
489,-0.039201,0.004579,-0.034622
490,-0.034613,0.000374,-0.034239
491,-0.044359,0.009377,-0.034982
492,-0.058148,0.022609,-0.035539
493,-0.066400,0.030925,-0.035475
494,-0.068096,0.032866,-0.035230
495,-0.065783,0.030736,-0.035046
496,-0.061761,0.026814,-0.034947
497,-0.057351,0.022450,-0.034901
498,-0.053170,0.018287,-0.034883
499,-0.049456,0.014578,-0.034878
500,-0.046266,0.011388,-0.034879
501,-0.043582,0.008700,-0.034881
502,-0.041355,0.006470,-0.034885
503,-0.039534,0.004647,-0.034888
504,-0.038071,0.003181,-0.034890
505,-0.036926,0.002033,-0.034892
506,-0.036064,0.001171,-0.034894
507,-0.035462,0.000568,-0.034895
508,-0.035103,0.000207,-0.034895
509,-0.034975,0.000079,-0.034896
510,-0.035075,0.000179,-0.034895
511,-0.035405,0.000510,-0.034895
512,-0.035974,0.001080,-0.034894
513,-0.036798,0.001906,-0.034892
514,-0.037901,0.003010,-0.034891
515,-0.039312,0.004424,-0.034888
516,-0.041072,0.006186,-0.034885
517,-0.043226,0.008344,-0.034882
518,-0.045826,0.010947,-0.034879
519,-0.048921,0.014043,-0.034878
520,-0.052539,0.017657,-0.034881
521,-0.056642,0.021747,-0.034896
522,-0.061044,0.026109,-0.034934
